stage,q,status,n,k,overlap,slots_reassigned,reassigned_rate,delay_boundary_tie_count,consequence_boundary_tie_count,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,Capture_D_F,Capture_C_F,Delta_Capture_F_pp,Capture_F_status,Capture_D_P,Capture_C_P,Delta_Capture_P_pp,Capture_P_status,Capture_D_R,Capture_C_R,Delta_Capture_R_pp,Capture_R_status,Capture_D_F_continuity,Capture_C_F_continuity,Delta_Capture_F_continuity_pp,Capture_F_continuity_status,Capture_D_F_execution,Capture_C_F_execution,Delta_Capture_F_execution_pp,Capture_F_execution_status,Capture_D_F_propagation,Capture_C_F_propagation,Delta_Capture_F_propagation_pp,Capture_F_propagation_status,Capture_D_P_time,Capture_C_P_time,Delta_Capture_P_time_pp,Capture_P_time_status,Capture_D_P_itinerary,Capture_C_P_itinerary,Delta_Capture_P_itinerary_pp,Capture_P_itinerary_status,Capture_D_P_service,Capture_C_P_service,Delta_Capture_P_service_pp,Capture_P_service_status,Capture_D_R_operating,Capture_C_R_operating,Delta_Capture_R_operating_pp,Capture_R_operating_status,robust_count_m3,MissRate_D_m3,MissRate_C_m3,Delta_Miss_m3,robust_status_m3,robust_count_m4,MissRate_D_m4,MissRate_C_m4,Delta_Miss_m4,robust_status_m4,robust_count_m5,MissRate_D_m5,MissRate_C_m5,Delta_Miss_m5,robust_status_m5,Pareto_reversal_count_D,Pareto_rate_D,Pareto_complete_selected_D,Pareto_reversal_count_C,Pareto_rate_C,Pareto_complete_selected_C,overlap_ci_low,overlap_ci_high,slots_reassigned_ci_low,slots_reassigned_ci_high,reassigned_rate_ci_low,reassigned_rate_ci_high,delay_boundary_tie_count_ci_low,delay_boundary_tie_count_ci_high,consequence_boundary_tie_count_ci_low,consequence_boundary_tie_count_ci_high,delay_boundary_tie_fraction_ci_low,delay_boundary_tie_fraction_ci_high,consequence_boundary_tie_fraction_ci_low,consequence_boundary_tie_fraction_ci_high,Capture_D_F_ci_low,Capture_D_F_ci_high,Capture_C_F_ci_low,Capture_C_F_ci_high,Delta_Capture_F_pp_ci_low,Delta_Capture_F_pp_ci_high,Capture_D_P_ci_low,Capture_D_P_ci_high,Capture_C_P_ci_low,Capture_C_P_ci_high,Delta_Capture_P_pp_ci_low,Delta_Capture_P_pp_ci_high,Capture_D_R_ci_low,Capture_D_R_ci_high,Capture_C_R_ci_low,Capture_C_R_ci_high,Delta_Capture_R_pp_ci_low,Delta_Capture_R_pp_ci_high,Capture_D_F_continuity_ci_low,Capture_D_F_continuity_ci_high,Capture_C_F_continuity_ci_low,Capture_C_F_continuity_ci_high,Delta_Capture_F_continuity_pp_ci_low,Delta_Capture_F_continuity_pp_ci_high,Capture_D_F_execution_ci_low,Capture_D_F_execution_ci_high,Capture_C_F_execution_ci_low,Capture_C_F_execution_ci_high,Delta_Capture_F_execution_pp_ci_low,Delta_Capture_F_execution_pp_ci_high,Capture_D_F_propagation_ci_low,Capture_D_F_propagation_ci_high,Capture_C_F_propagation_ci_low,Capture_C_F_propagation_ci_high,Delta_Capture_F_propagation_pp_ci_low,Delta_Capture_F_propagation_pp_ci_high,Capture_D_P_time_ci_low,Capture_D_P_time_ci_high,Capture_C_P_time_ci_low,Capture_C_P_time_ci_high,Delta_Capture_P_time_pp_ci_low,Delta_Capture_P_time_pp_ci_high,Capture_D_P_itinerary_ci_low,Capture_D_P_itinerary_ci_high,Capture_C_P_itinerary_ci_low,Capture_C_P_itinerary_ci_high,Delta_Capture_P_itinerary_pp_ci_low,Delta_Capture_P_itinerary_pp_ci_high,Capture_D_P_service_ci_low,Capture_D_P_service_ci_high,Capture_C_P_service_ci_low,Capture_C_P_service_ci_high,Delta_Capture_P_service_pp_ci_low,Delta_Capture_P_service_pp_ci_high,Capture_D_R_operating_ci_low,Capture_D_R_operating_ci_high,Capture_C_R_operating_ci_low,Capture_C_R_operating_ci_high,Delta_Capture_R_operating_pp_ci_low,Delta_Capture_R_operating_pp_ci_high,robust_count_m3_ci_low,robust_count_m3_ci_high,MissRate_D_m3_ci_low,MissRate_D_m3_ci_high,MissRate_C_m3_ci_low,MissRate_C_m3_ci_high,Delta_Miss_m3_ci_low,Delta_Miss_m3_ci_high,robust_count_m4_ci_low,robust_count_m4_ci_high,MissRate_D_m4_ci_low,MissRate_D_m4_ci_high,MissRate_C_m4_ci_low,MissRate_C_m4_ci_high,Delta_Miss_m4_ci_low,Delta_Miss_m4_ci_high,robust_count_m5_ci_low,robust_count_m5_ci_high,MissRate_D_m5_ci_low,MissRate_D_m5_ci_high,MissRate_C_m5_ci_low,MissRate_C_m5_ci_high,Delta_Miss_m5_ci_low,Delta_Miss_m5_ci_high,Pareto_reversal_count_D_ci_low,Pareto_reversal_count_D_ci_high,Pareto_rate_D_ci_low,Pareto_rate_D_ci_high,Pareto_complete_selected_D_ci_low,Pareto_complete_selected_D_ci_high,Pareto_reversal_count_C_ci_low,Pareto_reversal_count_C_ci_high,Pareto_rate_C_ci_low,Pareto_rate_C_ci_high,Pareto_complete_selected_C_ci_low,Pareto_complete_selected_C_ci_high
PRE_IB,0.05,PASS,48,3,2,1,0.3333333333333333,1,1,0.020833333333333332,0.020833333333333332,0.15266502965745185,0.13047361289268924,-2.2191416764762604,PASS,0.15368336288460746,0.16931293381807969,1.5629570933472225,PASS,0.09643181017074029,0.16544493166108687,6.901312149034658,PASS,0.04077723043240285,0.0,-4.077723043240285,PASS,0.15893631870534616,0.12807692296870749,-3.0859395736638677,PASS,0.15235208451251303,0.13509682431650705,-1.7255260196005984,PASS,0.1632768557018177,0.17654533432930627,1.3268478627488562,PASS,0.05189019889003488,0.09632177078252124,4.443157189248637,PASS,0.3890350231519851,0.3005661055669028,-8.846891758508235,PASS,0.09643181017074032,0.1654449316610869,6.901312149034658,PASS,6,0.5,0.5,0.0,PASS,5,0.4,0.4,0.0,PASS,4,0.5,0.25,-0.25,PASS,0,0.0,3,0,0.0,3,0.0,3.0,0.0,3.0,0.0,1.0,1.0,4.0,1.0,4.0,0.017857142857142856,0.08825163398692802,0.017857142857142856,0.08695652173913043,0.1112243632683708,0.17737131370246542,0.07831340149095865,0.17037623243761763,-5.415079238704811,0.0,0.07064509995126207,0.2030393991555572,0.11699477518604418,0.20986962711216675,-0.22343880680095857,7.995787767863453,0.012268668891985494,0.16618395325533278,0.08990323440257347,0.22317578227724166,0.0,17.194347381884786,0.0,0.10095022047678102,0.0,0.04508422411195984,-9.455520628302082,0.0,0.11508396155967389,0.18511504312702665,0.06789864186835672,0.17501909743414765,-7.668030992777799,0.0,0.11019128687738111,0.17902470453024244,0.08443409573296065,0.17379862052308107,-4.290668331885663,0.0,0.07259332295313002,0.21472014584745064,0.11994179091828855,0.21828305123596184,0.0,7.277111067647926,0.024199028232596988,0.1664557853777726,0.024469644077506687,0.24345069997932572,-3.221499730617705,17.778919336688638,0.17697768104711106,0.5479680237308511,0.0,0.5259710957937692,-23.61002765713779,7.48411736227263,0.012268668891985496,0.1661839532553328,0.08990323440257346,0.2231757822772416,0.0,17.194347381884793,4.0,8.0,0.4,0.8571428571428571,0.4,0.6666666666666666,-0.4,0.0,4.0,6.0,0.4,0.8333333333333334,0.25,0.6,-0.6,0.0,2.0,6.0,0.0,1.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0
PRE_IB,0.1,PASS,48,5,2,3,0.6,1,1,0.020833333333333332,0.020833333333333332,0.22755157575049573,0.18399792004826893,-4.355365570222681,PASS,0.19225177650532457,0.25846813171919786,6.621635521387328,PASS,0.11104973111707117,0.26145272091979926,15.040298980272809,PASS,0.042692939244663386,0.0,-4.269293924466338,PASS,0.2405484977060716,0.1777682207488057,-6.27802769572659,PASS,0.2256805391939404,0.1919817415781158,-3.3698797615824616,PASS,0.20110087440324262,0.2625624650783087,6.14615906750661,PASS,0.09488830422395479,0.21246292008441175,11.757461586045697,PASS,0.4520626624727248,0.39046109658719985,-6.160156588552495,PASS,0.1110497311170712,0.2614527209197993,15.040298980272812,PASS,6,0.5,0.16666666666666666,-0.33333333333333337,PASS,5,0.4,0.2,-0.2,PASS,4,0.5,0.0,-0.5,PASS,0,0.0,5,0,0.0,5,1.0,5.0,0.0,5.0,0.0,0.8333333333333334,1.0,4.0,1.0,4.0,0.017857142857142856,0.09090909090909091,0.01818181818181818,0.09090909090909091,0.19306001961106578,0.2758976518561373,0.14509015374794162,0.25810592689236805,-7.318190657644805,0.0,0.12658538297000982,0.29501060652715017,0.18513363811825076,0.32264855845104856,-0.20243938631411357,11.171143169740857,0.043343978593985186,0.24293447304342267,0.15454896228520532,0.3429081716212897,0.0,23.878637297467677,0.0,0.13229471815357288,0.0,0.09212389003182217,-11.33426771472008,0.0,0.2020553585400475,0.28908597679568043,0.13224219536827972,0.26341763669041063,-10.19804827795493,0.0,0.19098726112095576,0.2763247280685987,0.1547893316024172,0.2633958968560329,-5.860781520722117,0.0,0.12889953533609255,0.30817349678675066,0.19158372679456434,0.3310013079146685,0.0,10.564355605005945,0.05225829975476459,0.3049849022148544,0.05536951938565534,0.3736861941808672,-5.365246146222032,23.50025668557811,0.2699727715605386,0.7116467559425954,0.1842362029148914,0.6735436497157274,-24.895671865070558,11.623652150822643,0.043343978593985186,0.24293447304342278,0.15454896228520532,0.3429081716212898,0.0,23.87863729746768,4.0,8.0,0.0,0.8333333333333334,0.0,0.375,-0.8,0.0,4.0,6.0,0.0,0.8,0.0,0.4,-0.8,0.16666666666666669,2.0,6.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0
PRE_IB,0.2,PASS,48,10,6,4,0.4,1,1,0.020833333333333332,0.020833333333333332,0.39023593324943495,0.3384157878180342,-5.182014543140073,PASS,0.33442991716407805,0.3864854006447427,5.205548348066463,PASS,0.2706879220123814,0.44932326646511556,17.863534445273416,PASS,0.042692939244663386,0.04077723043240285,-0.19157088122605387,PASS,0.40496943346896275,0.32938911861480935,-7.55803148541534,PASS,0.3917021303924228,0.3507908427861181,-4.091128760630469,PASS,0.3424111021475724,0.3947156779702188,5.230457582264636,PASS,0.23729760277510348,0.29400135600995714,5.670375323485366,PASS,0.6835188942299407,0.6518875471644265,-3.163134706551418,PASS,0.2706879220123814,0.44932326646511556,17.863534445273416,PASS,6,0.3333333333333333,0.0,-0.3333333333333333,PASS,5,0.2,0.0,-0.2,PASS,4,0.25,0.0,-0.25,PASS,0,0.0,10,0,0.0,10,3.0,9.0,2.0,7.0,0.18181818181818182,0.7,1.0,4.0,1.0,4.0,0.017857142857142856,0.08888888888888889,0.017857142857142856,0.09302325581395349,0.3382813206805545,0.4393080184936339,0.27334867243522537,0.40747161380210817,-9.001784114465327,-1.380829788702339,0.2531566669266072,0.4473471849233977,0.31653595862351575,0.47857551795731446,-2.190324656889302,12.17318677464197,0.15158184182005777,0.3967140700020439,0.31439643379032534,0.5470017041162907,3.946338172897624,28.88216852770817,0.0,0.17129214862736442,0.0,0.13912448193229332,-11.642644718626771,0.0,0.3462828553315691,0.4554812922724971,0.25599698887015115,0.40851879647386286,-12.60438411641046,-2.1319538868783656,0.34089457436097215,0.4437121891125766,0.288083103362864,0.4173302891919085,-7.46097567498274,-0.9070369352935126,0.26153385918278454,0.4515716478486779,0.330068887961961,0.48760824681750226,-1.4946245601864767,12.579545724880406,0.11608133628905004,0.46957827877650166,0.11071593752999515,0.487335133394245,-13.83826416483578,16.19557999305144,0.439445753275155,0.9320976815796684,0.4361116361468321,0.8642326000137365,-25.420925273433227,19.989961676090758,0.15158184182005777,0.396714070002044,0.3143964337903253,0.5470017041162907,3.946338172897624,28.882168527708167,4.0,8.0,0.0,0.6,0.0,0.14285714285714285,-0.6,0.0,4.0,6.0,0.0,0.6,0.0,0.0,-0.6,0.0,2.0,6.0,0.0,0.6,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,8.0,12.0
PRE_IB,0.3,PASS,48,15,10,5,0.3333333333333333,1,1,0.020833333333333332,0.020833333333333332,0.525187576001797,0.4674341331149855,-5.775344288681151,PASS,0.5200706867241585,0.5357853259369055,1.5714639212747072,PASS,0.36991636135385114,0.5712125977286013,20.12962363747502,PASS,0.11521620142309798,0.04077723043240285,-7.443897099069513,PASS,0.5433645554161205,0.4602620422790411,-8.310251313707939,PASS,0.5265077368584591,0.48221057511930143,-4.429716173915765,PASS,0.5271202636818789,0.5559288451144173,2.8808581432538394,PASS,0.4274800151418962,0.34057745449997706,-8.690256064191914,PASS,0.9121119415444643,0.801770218981075,-11.034172256338925,PASS,0.3699163613538512,0.5712125977286013,20.129623637475014,PASS,6,0.16666666666666666,0.0,-0.16666666666666666,PASS,5,0.0,0.0,0.0,PASS,4,0.0,0.0,0.0,PASS,0,0.0,15,0,0.0,15,6.0,14.0,2.0,8.0,0.13333333333333333,0.5333333333333333,1.0,4.0,1.0,4.0,0.017857142857142856,0.09615384615384616,0.01818181818181818,0.08888888888888889,0.46573987767785396,0.5743630489121088,0.39664368591594207,0.5415819080801653,-9.535951189163042,-1.529001596264322,0.4065764490091835,0.590215607438118,0.4421409859717776,0.6078522875397931,-2.289387566507283,9.852814300434373,0.2645441025589311,0.5241016045812615,0.445953693874731,0.6839499288296454,5.370210231267498,30.35449210481423,0.0027583215646397514,0.31652203733310724,0.0,0.14919504153413204,-27.082923018198496,0.0,0.4777609176867544,0.5916232157547604,0.37953974616851355,0.5447084760470073,-13.338702333317425,-2.1804754336883057,0.4660432162951994,0.5804878328404464,0.4124510963079727,0.5579924606477727,-7.840930866323548,-0.8044291766555018,0.4141100705578741,0.5913279331041266,0.4638351081775991,0.6190586397150252,-1.6811847523152277,10.72727033270639,0.23820279367913486,0.6364648187998999,0.18535189910170624,0.5734172977990659,-24.32829032567254,9.700230257943849,0.6282431858271965,1.0000000000000002,0.5897688558376972,0.9562682078267384,-31.259325970924507,15.198744961347119,0.26454410255893124,0.5241016045812615,0.4459536938747309,0.6839499288296454,5.370210231267503,30.354492104814238,4.0,8.0,0.0,0.42857142857142855,0.0,0.0,-0.42857142857142855,0.0,4.0,6.0,0.0,0.4,0.0,0.0,-0.4,0.0,2.0,6.0,0.0,0.4,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,12.0,18.0,0.0,0.0,0.0,0.0,12.0,18.0
POST_IB_PRE_OB,0.05,PASS,120,6,3,3,0.5,1,1,0.008333333333333333,0.008333333333333333,0.12939374573168938,0.10906099815998319,-2.0332747571706196,PASS,0.10276321526093989,0.15108241190543098,4.831919664449109,PASS,0.0843276842178493,0.17722305453554282,9.289537031769353,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.13206016009441707,0.10367778116927509,-2.8382378925141976,PASS,0.12797704870603163,0.11192116408385883,-1.6055884622172805,PASS,0.10489455397064884,0.14831576136195407,4.3421207391305225,PASS,0.06777945295334555,0.17375765103113824,10.59781980777927,PASS,0.19623367128688898,0.20822727327542678,1.19936019885378,PASS,0.0843276842178493,0.17722305453554282,9.289537031769353,PASS,12,0.6666666666666666,0.5,-0.16666666666666663,PASS,11,0.6363636363636364,0.45454545454545453,-0.18181818181818182,PASS,11,0.6363636363636364,0.45454545454545453,-0.18181818181818182,PASS,0,0.0,6,0,0.0,6,1.0,6.0,1.0,6.0,0.14285714285714285,0.8571428571428571,1.0,4.0,1.0,4.0,0.008130081300813009,0.03389830508474576,0.008064516129032258,0.03389830508474576,0.11565058692135809,0.15794032573584052,0.09246985239054806,0.14296827614339327,-4.0284306338652,-0.3711435408011204,0.07921173223146108,0.15903165882034775,0.13002985839135203,0.18729772768209463,0.5979696726836353,7.931504258851959,0.020728090726763786,0.1563207369997387,0.0859509402776573,0.24382374673273335,1.0351610630999617,17.58210964767527,,,,,,,0.11670983578583502,0.16386926252304349,0.08453213909420607,0.14332193491446815,-5.3593482614094015,-0.5910382690469632,0.11489810438221798,0.15550341658904132,0.09636356235338678,0.14324836898976603,-3.342883751621644,-0.20549128966375205,0.07706153933296395,0.1596777068226551,0.1281643685354058,0.18446488970564967,0.62215135958275,7.820506141738593,0.01735220876300424,0.21733248834996494,0.06906340509616064,0.28785961764128887,-4.9286146612376855,22.05683782016736,0.1407061578857801,0.29778702272744195,0.1637588584256105,0.3238269399134597,-3.081507969404969,9.631026916050802,0.020728090726763786,0.1563207369997387,0.08595094027765729,0.24382374673273333,1.0351610630999604,17.58210964767527,12.0,17.0,0.5,0.8,0.46153846153846156,0.625,-0.3076923076923077,0.0,10.0,14.0,0.45454545454545453,0.8333333333333334,0.36363636363636365,0.5384615384615384,-0.4,0.0,7.0,13.0,0.36363636363636365,0.8181818181818182,0.125,0.5,-0.5714285714285714,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,6.0,7.0
POST_IB_PRE_OB,0.1,PASS,120,12,9,3,0.25,1,1,0.008333333333333333,0.008333333333333333,0.22972176623450732,0.20791036285208436,-2.181140338242296,PASS,0.23797226783422473,0.2633174428353323,2.5345175001107583,PASS,0.16552877644863623,0.2441328279746575,7.860405152602127,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.23331866547432586,0.20438525569416896,-2.8933409780156905,PASS,0.22781069174965912,0.20978329336714308,-1.8027398382516047,PASS,0.23624229114826287,0.26332130631890033,2.707901517063746,PASS,0.2369881633638544,0.24733285820940681,1.0344694845552422,PASS,0.39273005000608996,0.3884648331626938,-0.4265216843396147,PASS,0.1655287764486362,0.2441328279746575,7.860405152602129,PASS,12,0.25,0.0,-0.25,PASS,11,0.18181818181818182,0.0,-0.18181818181818182,PASS,11,0.18181818181818182,0.0,-0.18181818181818182,PASS,0,0.0,12,0,0.0,12,6.0,12.0,1.0,6.0,0.07692307692307693,0.5,1.0,4.0,1.0,4.0,0.008064516129032258,0.03418803418803419,0.008064516129032258,0.034482758620689655,0.20980302479827398,0.2613862962335799,0.18378343242866457,0.2471425930229954,-4.0321433989867845,-0.29426677715248595,0.18721262821902404,0.2858475874759919,0.2169461904536009,0.3023682663607666,-0.23661445510261225,7.117391458729524,0.0853944994841194,0.26740203879099256,0.1614541764792692,0.35063294688029456,0.6674155139300066,17.892806005204164,,,,,,,0.20981126013167384,0.26813330317576795,0.17474489409721708,0.24862034808590192,-5.438276780249073,-0.46907007125588174,0.20936512468565516,0.25923274147603953,0.18797646382938843,0.24708760677736838,-3.347189988226353,-0.1915840726284472,0.18424896484633915,0.2853204825282943,0.2200998628926603,0.30151883329585616,-0.12912236706254854,7.361866216211516,0.10692344690714019,0.35781451962171473,0.09659381800509631,0.37683622305799147,-10.610356219782965,14.394015979612883,0.29011677393489793,0.5112758025026349,0.29224746743538393,0.5118855012696439,-6.815357284994361,8.990140163013681,0.08539449948411938,0.26740203879099245,0.1614541764792692,0.3506329468802945,0.6674155139300093,17.892806005204168,12.0,17.0,0.07692307692307693,0.5294117647058824,0.0,0.2777777777777778,-0.4615384615384615,0.0,10.0,14.0,0.0,0.5,0.0,0.16666666666666666,-0.5,0.0,7.0,13.0,0.0,0.4624999999999948,0.0,0.1,-0.45454545454545453,0.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,12.0,13.0
POST_IB_PRE_OB,0.2,PASS,120,24,17,7,0.2916666666666667,1,1,0.008333333333333333,0.008333333333333333,0.39910853375648003,0.3534219814983241,-4.5686552258155935,PASS,0.3915520342894847,0.4041292407005605,1.2577206411075792,PASS,0.3115405950777942,0.48736995899289176,17.582936391509758,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.40363533107685984,0.34222691064140076,-6.1408420435459075,PASS,0.39670339358427625,0.35937005311342224,-3.7333340470854015,PASS,0.3942953698118866,0.41301411500630764,1.8718745194421016,PASS,0.33217886486410486,0.2910032337369425,-4.117563112716239,PASS,0.6244600654363539,0.5370095279430518,-8.74505374933021,PASS,0.31154059507779414,0.48736995899289176,17.58293639150976,PASS,12,0.08333333333333333,0.0,-0.08333333333333333,PASS,11,0.0,0.0,0.0,PASS,11,0.0,0.0,0.0,PASS,0,0.0,24,0,0.0,24,13.0,22.0,3.0,12.0,0.12,0.48,1.0,4.0,1.0,4.0,0.008064516129032258,0.03389830508474576,0.00812844217151849,0.03419540229885054,0.37037501728695266,0.433690001248916,0.3189294394549272,0.40472106635845084,-6.538932222650089,-1.2305120704183448,0.3328167878505784,0.44159969202321825,0.35428569665303306,0.45529407174137315,-1.295836076154112,4.6725507599238805,0.1938628480068078,0.42588804395570845,0.3616356819804601,0.58692117995714,3.7660634408427174,31.53812045816793,,,,,,,0.37297917007852344,0.4413816490635335,0.30201723636925015,0.40161257743491297,-9.154288466715734,-1.7054402358420957,0.3678754676331482,0.430042673241894,0.32761131775464536,0.40668116429124884,-5.162299807367904,-1.0146387500140654,0.3321443103815318,0.4443883965219976,0.364423285946507,0.4621609411957715,-0.6646004815805098,5.9210141062364645,0.22696455130001555,0.49840799819578163,0.16113679472522005,0.43350041100031567,-18.099868600657,0.4441202022652603,0.5122303223214412,0.752832334532967,0.4307239176635283,0.6792216883185669,-19.32280596897569,4.095841900618242,0.1938628480068078,0.4258880439557084,0.3616356819804601,0.5869211799571399,3.7660634408427174,31.53812045816791,12.0,17.0,0.0,0.3125,0.0,0.0,-0.3076923076923077,0.0,10.0,14.0,0.0,0.3,0.0,0.0,-0.3,0.0,7.0,13.0,0.0,0.1822727272727248,0.0,0.0,-0.18227272727272725,0.0,0.0,0.0,0.0,0.0,23.0,25.0,0.0,0.0,0.0,0.0,23.0,25.0
POST_IB_PRE_OB,0.3,PASS,120,36,27,9,0.25,1,1,0.008333333333333333,0.008333333333333333,0.5280978014458838,0.4962705617019161,-3.182723974396773,PASS,0.5052674943362883,0.5291721749002185,2.3904680563930247,PASS,0.3673671513426936,0.6110826007320235,24.37154493893299,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.5373126105670423,0.4858182344250187,-5.149437614202357,PASS,0.5232018659692257,0.5018240049969159,-2.137786097230976,PASS,0.4986735540609856,0.5363220673209873,3.7648513260001684,PASS,0.5411256591734626,0.4266279052509401,-11.44977539225225,PASS,0.7842149322015828,0.7264461262181405,-5.776880598344225,PASS,0.3673671513426936,0.6110826007320234,24.371544938932978,PASS,12,0.08333333333333333,0.0,-0.08333333333333333,PASS,11,0.0,0.0,0.0,PASS,11,0.0,0.0,0.0,PASS,0,0.0,36,0,0.0,36,22.0,31.0,6.0,14.0,0.16216216216216217,0.4,1.0,4.0,1.0,4.0,0.008064516129032258,0.03389830508474576,0.008064516129032258,0.03389830508474576,0.49768566450704477,0.5661693653669798,0.45389064979493277,0.5404273086046264,-5.621361034307964,-1.6280472128610208,0.4507865636318892,0.5615282442709554,0.4828299621104177,0.580395422613273,-0.6363150132286998,5.747487224815141,0.2674769973167798,0.5036426890220693,0.5189430238953471,0.7196507118680359,12.01316997645471,36.984288251777855,,,,,,,0.505357055347631,0.5764732491756647,0.4356799453006032,0.5327405770841258,-8.581828128486366,-2.607102664996897,0.49262903115716516,0.561818989081722,0.4618381471429741,0.5440758935654617,-4.228865914681044,-1.094904954895459,0.44050983013478173,0.5586428286396569,0.493081390060772,0.586245898981725,0.7541889357669516,7.572141681600093,0.39388478569285484,0.6519603562574238,0.2699668527318422,0.5462620531021164,-23.64064696156469,-2.112122170587907,0.6868711482672598,0.9228083713469809,0.6151182634599129,0.8306907371199348,-18.437640966161986,2.4736907141366515,0.2674769973167798,0.5036426890220692,0.5189430238953473,0.7196507118680358,12.013169976454694,36.984288251777855,12.0,17.0,0.0,0.26666666666666666,0.0,0.0,-0.26666666666666666,0.0,10.0,14.0,0.0,0.2857142857142857,0.0,0.0,-0.2857142857142857,0.0,7.0,13.0,0.0,0.18181818181818182,0.0,0.0,-0.18181818181818182,0.0,0.0,0.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,0.0,35.0,38.0
POST_OB_PRE_TO,0.05,PASS,67,4,4,0,0.0,1,1,0.014925373134328358,0.014925373134328358,0.22984910408395862,0.22984910408395862,0.0,PASS,0.3367558578132744,0.3367558578132744,0.0,PASS,0.2298491040839586,0.2298491040839586,0.0,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.2298491040839586,0.2298491040839586,0.0,PASS,0.33675585781327433,0.33675585781327433,0.0,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.2298491040839586,0.2298491040839586,0.0,PASS,8,0.5,0.5,0.0,PASS,7,0.42857142857142855,0.42857142857142855,0.0,PASS,7,0.42857142857142855,0.42857142857142855,0.0,PASS,0,0.0,4,0,0.0,4,2.0,4.0,0.0,2.0,0.0,0.5,1.0,4.0,1.0,4.0,0.01350900900900901,0.06451612903225806,0.013333333333333334,0.06451612903225806,0.16813219362018217,0.3108046051754691,0.1665870170629469,0.3087551936803594,-0.5397677392004742,0.0,0.1792955447645257,0.41580247081640137,0.2189155781936832,0.42422238500449894,0.0,9.92299176280199,0.1681321936201821,0.31080460517546904,0.16658701706294687,0.3087551936803595,-0.5397677392004714,0.0,,,,,,,,,,,,,0.1681321936201821,0.3108046051754691,0.16658701706294687,0.3087551936803594,-0.5397677392004742,0.0,0.17929554476452575,0.41580247081640137,0.2189155781936832,0.4242223850044991,0.0,9.92299176280199,,,,,,,,,,,,,0.1681321936201821,0.3108046051754691,0.16658701706294687,0.3087551936803594,-0.5397677392004742,0.0,6.0,10.0,0.42857142857142855,0.625,0.42857142857142855,0.625,0.0,0.0,6.0,8.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5,-0.125,0.0,6.0,8.0,0.3333333333333333,0.5,0.3333333333333333,0.5,-0.125,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0
